City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,siwa oasis,29.2041,25.5195,27.24,49,0,3.52,EG,1691635356
302,gamba,-2.65,10.0,21.09,94,100,0.95,GA,1691635356
303,mount isa,-20.7333,139.5,26.87,24,12,4.12,AU,1691635280
304,santo antonio do ica,-3.1022,-67.9397,24.16,87,71,0.39,BR,1691635356
305,muisne,0.6,-80.0333,25.52,85,100,3.87,EC,1691635357
306,capo d'orlando,38.1435,14.7305,21.87,55,2,0.91,IT,1691635357
307,lochbuie,40.0072,-104.7161,25.05,49,20,4.12,US,1691635357
308,zouerate,22.7187,-12.4521,30.09,36,0,4.19,MR,1691635357
309,cova figueira,14.8905,-24.2934,22.94,75,59,5.91,CV,1691635357
310,san antonio,29.4241,-98.4936,34.51,57,20,8.75,US,1691635357
311,rensselaer,42.7168,-73.4829,18.4,79,5,1.47,US,1691635358
312,george town,5.4112,100.3354,26.96,87,40,1.54,MY,1691635064
313,tukrah,32.5341,20.5791,24.79,70,2,4.0,LY,1691635358
314,zaozersk,69.4005,32.4476,19.54,73,0,1.8,RU,1691635358
315,cambria,35.5641,-121.0808,17.5,88,22,0.45,US,1691635358
316,altai,46.3722,96.2583,16.83,53,4,5.02,MN,1691635358
317,peshawar,34.008,71.5785,30.08,74,20,3.09,PK,1691635358
318,mohr,54.3528,9.7167,13.08,85,100,2.06,DE,1691635358
319,medina,24.4686,39.6142,33.24,9,0,1.54,SA,1691635359
320,jining,35.405,116.5814,31.17,50,0,3.26,CN,1691635359
321,acarau,-2.8856,-40.12,25.0,84,46,6.4,BR,1691635359
322,harper,4.375,-7.7169,24.08,83,100,5.05,LR,1691635359
323,kulp,38.4972,41.0122,28.99,22,0,3.51,TR,1691635359
324,luderitz,-26.6481,15.1594,22.05,44,99,1.45,NA,1691635359
325,laojunmiao,39.8333,97.7333,21.35,50,100,2.77,CN,1691635360
326,aizkraukle,56.6048,25.2553,11.72,90,71,1.79,LV,1691635360
327,skurup,55.4784,13.5019,12.45,76,100,4.63,SE,1691635360
328,lebu,-37.6167,-73.65,11.3,88,43,5.95,CL,1691635360
329,masterton,-40.9597,175.6575,7.16,98,100,2.0,NZ,1691635068
330,el charco,2.4769,-78.1105,24.3,95,96,1.26,CO,1691635360
331,gazojak,41.1875,61.4036,32.02,24,0,2.65,TM,1691635067
332,port moresby,-9.4431,147.1797,29.68,51,20,10.29,PG,1691635360
333,likasi,-10.9814,26.7333,12.64,50,2,1.99,CD,1691635361
334,crikvenica,45.1772,14.6928,21.11,46,20,2.06,HR,1691635361
335,souillac,-20.5167,57.5167,21.21,78,40,4.12,MU,1691635361
336,suva,-18.1416,178.4415,27.71,54,75,3.09,FJ,1691635361
337,northam,51.0333,-4.2167,17.01,86,1,4.45,GB,1691635361
338,bodaybo,57.8506,114.1933,25.19,55,100,1.17,RU,1691635361
339,camiri,-20.05,-63.5167,15.69,64,0,1.02,BO,1691635361
340,nar'yan-mar,67.6713,53.087,13.61,75,0,2.76,RU,1691635362
341,kyren,51.6828,102.1408,15.84,93,100,0.81,RU,1691635362
342,sanctuary point,-35.1114,150.629,22.21,52,79,7.95,AU,1691635362
343,remire-montjoly,4.9167,-52.2667,26.02,89,0,2.06,GF,1691635358
344,mugia,43.1041,-9.2179,21.06,91,78,7.17,ES,1691635362
345,east moriches,40.8051,-72.7609,25.55,73,0,0.0,US,1691635362
346,horta,38.5333,-28.6333,21.12,86,87,2.68,PT,1691635309
347,pisco,-13.7,-76.2167,19.03,77,20,6.17,PE,1691635363
348,mccomb,31.2438,-90.4531,30.01,58,0,3.09,US,1691635363
349,storvreta,59.9667,17.7,11.99,100,100,5.14,SE,1691635363
350,papao,-17.75,-149.55,26.82,74,76,7.58,PF,1691635292
351,swakopmund,-22.6833,14.5333,13.47,91,83,2.24,NA,1691635363
352,mananjary,-21.2167,48.3333,18.35,92,41,1.35,MG,1691635363
353,natal,-5.795,-35.2094,23.36,94,40,3.6,BR,1691635294
354,ostrov,57.3439,28.3537,8.85,86,54,2.51,RU,1691635364
355,mandal,25.45,74.5667,25.97,75,96,4.23,IN,1691635365
356,aioun,16.6614,-9.6149,32.63,28,44,7.85,MR,1691635365
357,cabedelo,-6.9811,-34.8339,23.37,83,27,6.13,BR,1691635365
358,orumiyeh,37.5527,45.0761,18.75,48,0,3.09,IR,1691635365
359,lorengau,-2.0226,147.2712,28.29,77,97,7.47,PG,1691635365
360,semnan,35.5729,53.3971,26.09,15,0,1.36,IR,1691635365
361,afaahiti,-17.75,-149.2833,25.93,72,97,7.01,PF,1691635365
362,kavieng,-2.5744,150.7967,28.56,74,100,7.12,PG,1691635366
